image_path,true_label,location,job_id,status,elapsed_seconds,pred_disease_short,confidence,needs_new_image,rain_probability,wind_speed_kmh,weather_error,decision,decision_reason,num_rag_sources,final_report_is_fallback
data\e2e_test_set\CMD_556066757.jpg,CMD,"Bizerte,TN",333c1a6b-c512-479c-80a7-860c6c6fb075,completed,2.05,CMD,0.5781,True,,,,,,0,False
data\e2e_test_set\CMD_4124483418.jpg,CMD,"Kairouan,TN",6d700110-c9d8-4037-b383-18ae9c699a9a,completed,2.06,CMD,0.479,True,,,,,,0,False
data\e2e_test_set\CMD_491901266.jpg,CMD,"Tunis,TN",3e4a8769-4f60-4cd4-9df2-fbe565858b58,completed,2.09,CMD,0.5476,True,,,,,,0,False
data\e2e_test_set\CMD_360723691.jpg,CMD,"Sfax,TN",e813e4c4-fabc-44b2-a6cf-81fddb557435,completed,2.05,CMD,0.5501,True,,,,,,0,False
data\e2e_test_set\CMD_3003092970.jpg,CMD,"Sousse,TN",8cb29ccf-b1d8-467a-94c3-7c3e2583539e,completed,2.05,CMD,0.5336,True,,,,,,0,False
data\e2e_test_set\CMD_2051048628.jpg,CMD,"Bizerte,TN",0d1b3910-7b68-4a41-a9d0-45f6f8aea29c,completed,2.05,CMD,0.5712,True,,,,,,0,False
data\e2e_test_set\Healthy_3740043778.jpg,Healthy,"Kairouan,TN",36e07dfe-291c-4650-80ab-1f29e1c7fcf4,completed,2.06,Healthy,0.6705,True,,,,,,0,False
data\e2e_test_set\Healthy_73728059.jpg,Healthy,"Tunis,TN",4623c5a5-e7e3-4ff8-91d5-74e359f6cdbd,completed,2.06,CBSD,0.6237,True,,,,,,0,False
data\e2e_test_set\Healthy_2670711790.jpg,Healthy,"Sfax,TN",9b96d149-11c9-4ddd-8add-c0c070315bc3,completed,17.36,Healthy,0.7762,False,,,,no_action_needed,,0,True
data\e2e_test_set\Healthy_1045099368.jpg,Healthy,"Sousse,TN",54afac67-6f4d-49b9-b906-3b5c8a73a743,completed,17.36,Healthy,0.7477,False,,,,no_action_needed,,0,True
data\e2e_test_set\Healthy_1969585969.jpg,Healthy,"Bizerte,TN",a36dff0b-55c7-4ae9-8989-14eca37811fd,completed,17.38,Healthy,0.813,False,,,,no_action_needed,,0,True
data\e2e_test_set\Healthy_3571912380.jpg,Healthy,"Kairouan,TN",829c4d36-6deb-4dbd-9cc8-914084211af7,completed,17.41,Healthy,0.7102,False,,,,no_action_needed,,0,True
